2022-04-30 15:06:51 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
2022-04-30 15:06:51 [main] INFO  o.s.b.c.config.ConfigDataLoader - Fetching config from server at : http://localhost:8888
2022-04-30 15:06:51 [main] INFO  o.s.b.c.config.ConfigDataLoader - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-04-30 15:06:51 [main] WARN  o.s.b.c.config.ConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@47d7bfb3 uris = array<String>['http://localhost:8888'], optional = true, profiles = list['dev']]): I/O error on GET request for "http://localhost:8888/poll-manager/dev": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2022-04-30 15:06:58 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://localhost:8888
2022-04-30 15:07:00 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-04-30 15:07:00 [main] WARN  o.s.c.c.c.ConfigServicePropertySourceLocator - Could not locate PropertySource: I/O error on GET request for "http://localhost:8888/poll-manager/default": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2022-04-30 15:07:00 [main] INFO  c.m.d.p.m.a.PollManagerAppApplication - The following 1 profile is active: "dev"
2022-04-30 15:07:00 [main] INFO  o.s.b.c.config.ConfigDataLoader - Fetching config from server at : http://localhost:8888
2022-04-30 15:07:00 [main] INFO  o.s.b.c.config.ConfigDataLoader - Connect Timeout Exception on Url - http://localhost:8888. Will be trying the next url if available
2022-04-30 15:07:00 [main] WARN  o.s.b.c.config.ConfigDataLoader - Could not locate PropertySource ([ConfigServerConfigDataResource@7fd26ad8 uris = array<String>['http://localhost:8888'], optional = true, profiles = list['dev']]): I/O error on GET request for "http://localhost:8888/poll-manager/dev": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect
2022-04-30 15:07:04 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2022-04-30 15:07:04 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 351 ms. Found 3 JPA repository interfaces.
2022-04-30 15:07:07 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=463884ab-d739-36a3-aaf8-c32b5a01a71d
2022-04-30 15:07:10 [main] WARN  io.undertow.websockets.jsr - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2022-04-30 15:07:10 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2022-04-30 15:07:10 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 10233 ms
2022-04-30 15:07:12 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2022-04-30 15:07:12 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2022-04-30 15:07:12 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2022-04-30 15:07:13 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.7.Final
2022-04-30 15:07:13 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
2022-04-30 15:07:14 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-04-30 15:07:14 [main] INFO  o.h.e.b.internal.EnversServiceImpl - Envers integration enabled? : true
2022-04-30 15:07:15 [main] WARN  org.hibernate.cfg.AnnotationBinder - HHH000503: A class should not be annotated with both @Inheritance and @MappedSuperclass. @Inheritance will be ignored for: com.mak.demo.poll.manager.rdms.entity.BaseEntity.
2022-04-30 15:07:19 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-04-30 15:07:19 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2022-04-30 15:07:19 [main] WARN  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'resourceServerConfig': Injection of autowired dependencies failed; nested exception is java.lang.IllegalArgumentException: Could not resolve placeholder 'keycloak.client-id' in value "${keycloak.client-id}"
2022-04-30 15:07:19 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2022-04-30 15:07:19 [main] INFO  o.h.t.s.i.SchemaDropperImpl$DelayedDropActionImpl - HHH000477: Starting delayed evictData of schema as part of SessionFactory shut-down'
2022-04-30 15:07:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2022-04-30 15:07:19 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
